Initial_LR: 8.907357e-05;Decay_Factor: 0.85; DecayStart_Epoch: 8
Epoch;Loss;Accuracy;Learning_Rate
0;0.6406126618385315;0.612987220287323;8.907356823328882e-05
1;0.5546932816505432;0.7165391445159912;8.907356823328882e-05
2;0.5151824951171875;0.7462568283081055;8.907356823328882e-05
3;0.4903998076915741;0.763069212436676;8.907356823328882e-05
4;0.4699423313140869;0.7771402597427368;8.907356823328882e-05
5;0.45150959491729736;0.7904098629951477;8.907356823328882e-05
6;0.43427616357803345;0.8002732396125793;8.907356823328882e-05
7;0.4175460934638977;0.8106557130813599;8.907356823328882e-05
8;0.4004741609096527;0.8209745287895203;7.571253809146583e-05
9;0.385979562997818;0.8299999833106995;7.571253809146583e-05
10;0.37135109305381775;0.8380783200263977;7.571253809146583e-05
11;0.3576973080635071;0.8459926843643188;7.571253809146583e-05
12;0.3441750407218933;0.8540073037147522;7.571253809146583e-05
13;0.33073118329048157;0.861193060874939;7.571253809146583e-05
14;0.3169620633125305;0.869644820690155;7.571253809146583e-05
15;0.3034999966621399;0.8774863481521606;7.571253809146583e-05
16;0.29154831171035767;0.8838615417480469;6.435565592255443e-05
17;0.28048521280288696;0.8899180293083191;6.435565592255443e-05
18;0.2695184350013733;0.895500898361206;6.435565592255443e-05
19;0.25881680846214294;0.9017759561538696;6.435565592255443e-05
20;0.24822428822517395;0.9073315262794495;6.435565592255443e-05
21;0.23842450976371765;0.912987232208252;6.435565592255443e-05
22;0.22869965434074402;0.9176229238510132;6.435565592255443e-05
23;0.21808546781539917;0.9239708781242371;6.435565592255443e-05
24;0.21221373975276947;0.9256375432014465;5.470230462378822e-05
