Initial_LR: 8.773957e-05;Decay_Factor: 0.85; DecayStart_Epoch: 8
Epoch;Loss;Accuracy;Learning_Rate
0;0.23162968456745148;0.599744975566864;8.773957233643159e-05
1;0.2105279117822647;0.675655722618103;8.773957233643159e-05
2;0.1901225596666336;0.7170764803886414;8.773957233643159e-05
3;0.1764613389968872;0.742395281791687;8.773957233643159e-05
4;0.16906897723674774;0.7549817562103271;8.773957233643159e-05
5;0.1638091504573822;0.7646812200546265;8.773957233643159e-05
6;0.15946011245250702;0.7725409865379333;8.773957233643159e-05
7;0.15568146109580994;0.7782877683639526;8.773957233643159e-05
8;0.15194201469421387;0.7844899892807007;7.457863102899864e-05
9;0.14923793077468872;0.7888979911804199;7.457863102899864e-05
10;0.1466832160949707;0.7932695746421814;7.457863102899864e-05
11;0.14429089426994324;0.7975500822067261;7.457863102899864e-05
12;0.1419753134250641;0.801111102104187;7.457863102899864e-05
13;0.1398530751466751;0.8047176599502563;7.457863102899864e-05
14;0.13774800300598145;0.8088251352310181;7.457863102899864e-05
15;0.13575433194637299;0.8116393685340881;7.457863102899864e-05
16;0.1333979070186615;0.8158560991287231;6.339183892123401e-05
17;0.1316109299659729;0.8189253211021423;6.339183892123401e-05
18;0.1298854500055313;0.8220218420028687;6.339183892123401e-05
19;0.12817972898483276;0.8243169188499451;6.339183892123401e-05
20;0.12653791904449463;0.8273679614067078;6.339183892123401e-05
21;0.12488790601491928;0.8306102156639099;6.339183892123401e-05
22;0.12331213802099228;0.8333515524864197;6.339183892123401e-05
23;0.12177667021751404;0.835847020149231;6.339183892123401e-05
24;0.12008941173553467;0.8391621112823486;5.388306453824043e-05
