Initial_LR: 0.00018773957;Decay_Factor: 0.9; DecayStart_Epoch: 8
Epoch;Loss;Accuracy;Learning_Rate
0;0.22130565345287323;0.6382331252098083;0.0001877395698102191
1;0.18542054295539856;0.7247813940048218;0.0001877395698102191
2;0.16718998551368713;0.7579326033592224;0.0001877395698102191
3;0.15706072747707367;0.7747814059257507;0.0001877395698102191
4;0.14942225813865662;0.7869399189949036;0.0001877395698102191
5;0.14283058047294617;0.7977140545845032;0.0001877395698102191
6;0.13722918927669525;0.8080328106880188;0.0001877395698102191
7;0.13197951018810272;0.8174316883087158;0.0001877395698102191
8;0.12689648568630219;0.8248542547225952;0.0001689656201051548
9;0.12279027700424194;0.8326776027679443;0.0001689656201051548
10;0.1187051460146904;0.8397268056869507;0.0001689656201051548
11;0.11518906056880951;0.8453825116157532;0.0001689656201051548
12;0.11176197230815887;0.8509016633033752;0.0001689656201051548
13;0.10848889499902725;0.8568943738937378;0.0001689656201051548
14;0.10534907877445221;0.8622221946716309;0.0001689656201051548
15;0.10242430865764618;0.866712212562561;0.0001689656201051548
16;0.09914630651473999;0.872577428817749;0.0001520690566394478
17;0.09645397216081619;0.8771220445632935;0.0001520690566394478
18;0.09394033998250961;0.8815755844116211;0.0001520690566394478
19;0.09126336127519608;0.8862295150756836;0.0001520690566394478
20;0.0889008417725563;0.8901821374893188;0.0001520690566394478
21;0.08666758984327316;0.8941529989242554;0.0001520690566394478
22;0.08434006571769714;0.8972404599189758;0.0001520690566394478
23;0.08214961737394333;0.9010473489761353;0.0001520690566394478
24;0.07992175966501236;0.9045901894569397;0.00013686214515473694
